size	stride	elapsed(s)	cycles
4096	1	0.987134	987
4096	2	0.864716	864
4096	4	0.871253	871
4096	8	0.876624	877
4096	16	0.913902	914
4096	32	0.908871	909
4096	64	0.772421	773
4096	128	0.743472	744
4096	256	0.689567	689
4096	512	0.660104	660
4096	1024	0.712618	712
4096	2048	0.696899	697
8192	1	0.1762114	1777
8192	2	0.1750873	1751
8192	4	0.1706925	1707
8192	8	0.1770098	1770
8192	16	0.1741658	1742
8192	32	0.1675492	1676
8192	64	0.1769324	1769
8192	128	0.1566193	1566
8192	256	0.1519343	1520
8192	512	0.1378320	1378
8192	1024	0.1319445	1320
8192	2048	0.1465447	1465
8192	4096	0.1501819	1501
16384	1	0.3465711	3466
16384	2	0.3369010	3369
16384	4	0.3378171	3378
16384	8	0.3378245	3379
16384	16	0.3442146	3442
16384	32	0.3338515	3339
16384	64	0.3324675	3324
16384	128	0.3339729	3339
16384	256	0.3132789	3132
16384	512	0.2975751	2975
16384	1024	0.2759145	2759
16384	2048	0.2878698	2879
16384	4096	0.3146995	3147
16384	8192	0.3001426	3001
32768	1	0.6835561	6835
32768	2	0.6731119	6731
32768	4	0.6722915	6723
32768	8	0.6739368	6739
32768	16	0.6761328	6761
32768	32	0.6666243	6667
32768	64	0.6674503	6674
32768	128	0.6610379	6611
32768	256	0.6803468	6804
32768	512	0.6350336	6350
32768	1024	0.5869725	5869
32768	2048	0.5962479	5962
32768	4096	0.6287428	6288
32768	8192	0.6293567	6294
32768	16384	0.6005169	6005
65536	1	0.13448009	13448
65536	2	0.13344302	13344
65536	4	0.13305523	13305
65536	8	0.13296261	13296
65536	16	0.13353773	13354
65536	32	0.13310487	13311
65536	64	0.14195654	14195
65536	128	0.14049302	14049
65536	256	0.14148397	14148
65536	512	0.14176242	14176
65536	1024	0.13338729	13339
65536	2048	0.30693974	30694
65536	4096	0.50750092	50750
65536	8192	0.12550625	12551
65536	16384	0.12563119	12563
65536	32768	0.12002629	12003
131072	1	0.26783355	26783
131072	2	0.26865110	26865
131072	4	0.26599497	26599
131072	8	0.26480341	26480
131072	16	0.26535510	26535
131072	32	0.26561488	26562
131072	64	0.28302156	28303
131072	128	0.28148135	28148
131072	256	0.28098210	28098
131072	512	0.28151275	28151
131072	1024	0.28144501	28144
131072	2048	0.65830603	65830
131072	4096	0.110794033	110794
131072	8192	0.100364776	100365
131072	16384	0.25167682	25168
131072	32768	0.25164627	25165
131072	65536	0.24065005	24065
262144	1	0.53626086	53626
262144	2	0.53463707	53463
262144	4	0.53210866	53211
262144	8	0.53030817	53031
262144	16	0.53126106	53127
262144	32	0.52986334	52986
262144	64	0.56138289	56138
262144	128	0.57327464	57328
262144	256	0.60018527	60018
262144	512	0.59967306	59967
262144	1024	0.60645820	60646
262144	2048	0.151341523	151341
262144	4096	0.240513573	240513
262144	8192	0.236564893	236565
262144	16384	0.194751494	194752
262144	32768	0.50391408	50391
262144	65536	0.50346011	50346
262144	131072	0.48100513	48100
524288	1	0.107307122	107307
524288	2	0.106715150	106716
524288	4	0.106366515	106366
524288	8	0.106026693	106026
524288	16	0.106094771	106095
524288	32	0.106500141	106500
524288	64	0.112053370	112053
524288	128	0.128287650	128288
524288	256	0.153632313	153632
524288	512	0.158072928	158073
524288	1024	0.160941696	160941
524288	2048	0.215713141	215713
524288	4096	0.493928051	493928
524288	8192	0.506511435	506511
524288	16384	0.470808497	470808
524288	32768	0.342570069	342570
524288	65536	0.108516343	108516
524288	131072	0.100667679	100667
524288	262144	0.96424979	96425
1048576	1	0.214381401	214382
1048576	2	0.213479977	213480
1048576	4	0.212812734	212812
1048576	8	0.212025060	212025
1048576	16	0.212319131	212319
1048576	32	0.213205693	213205
1048576	64	0.224168705	224169
1048576	128	0.261638810	261639
1048576	256	0.321152571	321153
1048576	512	0.334397796	334398
1048576	1024	0.341336936	341337
1048576	2048	0.287321178	287321
1048576	4096	0.954085298	954085
1048576	8192	1.4637777	1004638
1048576	16384	1.16621775	1016622
1048576	32768	0.873995319	873995
1048576	65536	0.514805086	514806
1048576	131072	0.217019443	217019
1048576	262144	0.201572400	201572
1048576	524288	0.193665106	193665
2097152	1	0.428754185	428754
2097152	2	0.427159133	427159
2097152	4	0.425492498	425492
2097152	8	0.423787958	423787
2097152	16	0.425231098	425231
2097152	32	0.426323013	426323
2097152	64	0.448861043	448861
2097152	128	0.523251177	523251
2097152	256	0.643033031	643033
2097152	512	0.671687794	671688
2097152	1024	0.684811169	684811
2097152	2048	0.573416913	573416
2097152	4096	1.925369501	1925369
2097152	8192	1.944118903	1944118
2097152	16384	1.977686723	1977686
2097152	32768	1.864915416	1864915
2097152	65536	1.911191626	1911191
2097152	131072	1.34292454	1034292
2097152	262144	0.434200360	434201
2097152	524288	0.403366821	403367
2097152	1048576	0.384947404	384948
4194304	1	0.857051206	857051
4194304	2	0.854030180	854030
4194304	4	0.851146016	851146
4194304	8	0.849141173	849141
4194304	16	0.852694684	852695
4194304	32	0.860794090	860793
4194304	64	0.924406666	924406
4194304	128	1.103665386	1103665
4194304	256	1.350282696	1350282
4194304	512	1.416252275	1416252
4194304	1024	1.526377735	1526378
4194304	2048	1.580738390	1580738
4194304	4096	3.887532485	3887532
4194304	8192	3.923148657	3923149
4194304	16384	3.936855856	3936856
4194304	32768	3.844464822	3844465
4194304	65536	4.155895493	4155895
4194304	131072	4.45431719	4045432
4194304	262144	2.731239086	2731239
4194304	524288	0.867590795	867590
4194304	1048576	0.806642921	806643
4194304	2097152	0.769860156	769860
