size	stride	elapsed(s)	cycles
4096	1	0.2319544	2321
4096	2	0.2329062	2329
4096	4	0.2323807	2324
4096	8	0.2335817	2336
4096	16	0.2251738	2252
4096	32	0.999848	999
4096	64	0.1024999	1025
4096	128	0.1077048	1077
4096	256	0.892537	893
4096	512	0.831979	832
4096	1024	0.820589	821
4096	2048	0.856245	856
8192	1	0.1972228	1972
8192	2	0.1952090	1952
8192	4	0.1954884	1955
8192	8	0.1954141	1954
8192	16	0.1963817	1964
8192	32	0.1973840	1974
8192	64	0.1999022	1999
8192	128	0.2049387	2049
8192	256	0.2155876	2156
8192	512	0.1778614	1778
8192	1024	0.1628951	1629
8192	2048	0.1666395	1666
8192	4096	0.1785862	1786
16384	1	0.3903008	3903
16384	2	0.3903302	3904
16384	4	0.3902945	3903
16384	8	0.3903196	3903
16384	16	0.3913020	3913
16384	32	0.3922813	3923
16384	64	0.3947036	3947
16384	128	0.3996560	3996
16384	256	0.4098731	4098
16384	512	0.4303539	4303
16384	1024	0.3507723	3508
16384	2048	0.3470236	3471
16384	4096	0.3597261	3597
16384	8192	0.3572336	3573
32768	1	0.7807129	7807
32768	2	0.7808527	7808
32768	4	0.7804605	7805
32768	8	0.7809075	7809
32768	16	0.7821868	7822
32768	32	0.7836063	7836
32768	64	0.7861843	7862
32768	128	0.7907421	7908
32768	256	0.8020169	8020
32768	512	0.8241562	8241
32768	1024	0.8606834	8607
32768	2048	0.7178257	7178
32768	4096	0.7404615	7405
32768	8192	0.7350262	7351
32768	16384	0.7184085	7184
65536	1	0.15689217	15689
65536	2	0.15757996	15758
65536	4	0.15712861	15712
65536	8	0.15802877	15803
65536	16	0.15971484	15971
65536	32	0.16304011	16304
65536	64	0.16442751	16442
65536	128	0.16497454	16497
65536	256	0.16699398	16700
65536	512	0.16830784	16831
65536	1024	0.18190736	18191
65536	2048	0.19999213	19999
65536	4096	0.37572298	37572
65536	8192	0.14549029	14549
65536	16384	0.14357531	14357
65536	32768	0.14282752	14283
131072	1	0.31317909	31318
131072	2	0.31406274	31407
131072	4	0.31344897	31345
131072	8	0.31422382	31422
131072	16	0.31641846	31642
131072	32	0.32093568	32094
131072	64	0.32818196	32819
131072	128	0.32925344	32925
131072	256	0.33101631	33102
131072	512	0.33338984	33339
131072	1024	0.35584569	35584
131072	2048	0.39185823	39186
131072	4096	0.87865102	87865
131072	8192	0.90943326	90944
131072	16384	0.29281397	29281
131072	32768	0.28695744	28696
131072	65536	0.28565684	28565
262144	1	0.62693312	62693
262144	2	0.62956801	62957
262144	4	0.62801469	62802
262144	8	0.63209317	63210
262144	16	0.63682029	63682
262144	32	0.65050385	65050
262144	64	0.68365737	68366
262144	128	0.68532939	68533
262144	256	0.69044569	69045
262144	512	0.69734458	69735
262144	1024	0.74512045	74512
262144	2048	0.84528976	84529
262144	4096	0.187349093	187349
262144	8192	0.198290235	198290
262144	16384	0.178617878	178618
262144	32768	0.58708702	58708
262144	65536	0.57416094	57416
262144	131072	0.57128854	57129
524288	1	0.125407286	125408
524288	2	0.125984024	125984
524288	4	0.125697130	125697
524288	8	0.126527807	126528
524288	16	0.127721279	127722
524288	32	0.131025059	131026
524288	64	0.140273165	140273
524288	128	0.140377798	140378
524288	256	0.141401925	141402
524288	512	0.144031719	144032
524288	1024	0.159028300	159028
524288	2048	0.182315737	182316
524288	4096	0.352910451	352910
524288	8192	0.389504092	389504
524288	16384	0.328632729	328633
524288	32768	0.347020870	347021
524288	65536	0.126421839	126422
524288	131072	0.114825969	114825
524288	262144	0.114277560	114277
1048576	1	0.250959254	250959
1048576	2	0.251830025	251830
1048576	4	0.251503974	251504
1048576	8	0.253139577	253139
1048576	16	0.255662654	255663
1048576	32	0.262241209	262241
1048576	64	0.281326711	281327
1048576	128	0.281349830	281349
1048576	256	0.283114655	283115
1048576	512	0.289731234	289731
1048576	1024	0.320823079	320823
1048576	2048	0.366829163	366829
1048576	4096	0.624764723	624764
1048576	8192	0.671551441	671552
1048576	16384	0.704797563	704797
1048576	32768	0.640575052	640575
1048576	65536	0.766756349	766757
1048576	131072	0.252437794	252438
1048576	262144	0.229785911	229786
1048576	524288	0.228607643	228608
2097152	1	0.502217859	502218
2097152	2	0.503204256	503204
2097152	4	0.502558739	502559
2097152	8	0.505583853	505583
2097152	16	0.510284018	510284
2097152	32	0.522650629	522651
2097152	64	0.562850615	562850
2097152	128	0.562890480	562891
2097152	256	0.566187301	566187
2097152	512	0.579617172	579617
2097152	1024	0.641248135	641248
2097152	2048	0.732489369	732490
2097152	4096	1.443014522	1443014
2097152	8192	1.647132942	1647133
2097152	16384	1.275737654	1275738
2097152	32768	1.431638662	1431638
2097152	65536	1.643911371	1643911
2097152	131072	1.533693415	1533693
2097152	262144	0.505413700	505413
2097152	524288	0.459682203	459682
2097152	1048576	0.457183026	457183
4194304	1	1.32147377	1032148
4194304	2	1.44414937	1044414
4194304	4	1.24487722	1024488
4194304	8	1.108338056	1108338
4194304	16	1.298072470	1298072
4194304	32	1.488213137	1488213
4194304	64	1.825185306	1825185
4194304	128	1.832240295	1832240
4194304	256	1.903467257	1903467
4194304	512	2.192701940	2192702
4194304	1024	2.767834804	2767834
4194304	2048	3.288959052	3288959
4194304	4096	4.108670986	4108671
4194304	8192	2.543061974	2543061
4194304	16384	2.577272084	2577272
4194304	32768	2.621683100	2621683
4194304	65536	2.695306454	2695306
4194304	131072	2.788560264	2788560
4194304	262144	3.67767545	3067768
4194304	524288	1.874197488	1874198
4194304	1048576	0.919312402	919312
4194304	2097152	0.914593887	914593
