size	stride	elapsed(s)	cycles
4096	1	0.011463	3060
4096	2	0.012640	1165
4096	4	0.013812	1166
4096	8	0.014988	1173
4096	16	0.016168	1178
4096	32	0.017365	1195
4096	64	0.018595	1228
4096	128	0.019896	1299
4096	256	0.020979	1081
4096	512	0.022040	1059
4096	1024	0.023085	1043
4096	2048	0.024145	1059
8192	1	0.026500	2328
8192	2	0.028845	2332
8192	4	0.031183	2331
8192	8	0.033528	2340
8192	16	0.035872	2341
8192	32	0.038231	2356
8192	64	0.040624	2391
8192	128	0.043088	2462
8192	256	0.045671	2582
8192	512	0.047836	2163
8192	1024	0.049946	2108
8192	2048	0.052118	2171
8192	4096	0.054355	2236
16384	1	0.059064	4659
16384	2	0.063742	4654
16384	4	0.068408	4653
16384	8	0.073102	4687
16384	16	0.077768	4661
16384	32	0.082449	4678
16384	64	0.087169	4717
16384	128	0.091958	4787
16384	256	0.096865	4905
16384	512	0.102033	5166
16384	1024	0.106360	4325
16384	2048	0.110773	4411
16384	4096	0.115413	4639
16384	8192	0.119885	4471
32768	1	0.129292	9309
32768	2	0.138645	9305
32768	4	0.147976	9306
32768	8	0.157316	9327
32768	16	0.166649	9326
32768	32	0.175983	9329
32768	64	0.185362	9374
32768	128	0.194821	9457
32768	256	0.204364	9541
32768	512	0.214172	9806
32768	1024	0.224504	10330
32768	2048	0.233562	9056
32768	4096	0.243279	9716
32768	8192	0.252550	9269
32768	16384	0.261495	8943
65536	1	0.280344	18659
65536	2	0.299056	18617
65536	4	0.317736	18632
65536	8	0.336404	18643
65536	16	0.355100	18683
65536	32	0.373956	18849
65536	64	0.394950	20989
65536	128	0.416208	21255
65536	256	0.436965	20754
65536	512	0.457897	20929
65536	1024	0.480189	22291
65536	2048	0.507662	27471
65536	4096	0.569251	61587
65536	8192	0.588666	19413
65536	16384	0.607209	18542
65536	32768	0.625092	17881
131072	1	0.662800	37329
131072	2	0.700322	37334
131072	4	0.737719	37303
131072	8	0.775177	37410
131072	16	0.812740	37538
131072	32	0.850540	37787
131072	64	0.892572	42024
131072	128	0.935312	42735
131072	256	0.976565	41250
131072	512	1.017857	41290
131072	1024	0.061899	44040
131072	2048	0.117012	55111
131072	4096	0.237012	119998
131072	8192	0.361578	124564
131072	16384	0.400426	38846
131072	32768	0.437505	37077
131072	65536	0.473278	35771
262144	1	0.548758	74730
262144	2	0.623934	74802
262144	4	0.698858	74737
262144	8	0.773956	75003
262144	16	0.849395	75389
262144	32	0.925394	75974
262144	64	1.011108	85699
262144	128	0.100539	89423
262144	256	0.188080	87536
262144	512	0.274335	86251
262144	1024	0.366970	92632
262144	2048	0.476609	109637
262144	4096	0.741957	265346
262144	8192	1.030740	288781
262144	16384	0.277828	247086
262144	32768	0.355518	77688
262144	65536	0.429675	74155
262144	131072	0.501226	71550
524288	1	0.652216	149489
524288	2	0.802675	149711
524288	4	0.952640	149592
524288	8	1.103070	150240
524288	16	0.254329	151164
524288	32	0.407121	152743
524288	64	0.581570	174422
524288	128	0.767936	186350
524288	256	0.955569	187622
524288	512	1.134296	178722
524288	1024	0.335145	200845
524288	2048	0.566594	231446
524288	4096	1.088599	522003
524288	8192	0.649703	561101
524288	16384	1.309450	659745
524288	32768	0.913220	603767
524288	65536	1.086480	173257
524288	131072	0.234793	148311
524288	262144	0.377886	143091
1048576	1	0.679937	299056
1048576	2	0.981009	299574
1048576	4	1.281134	299380
1048576	8	0.582310	300800
1048576	16	0.885199	302699
1048576	32	1.190713	305417
1048576	64	0.539970	349204
1048576	128	0.913037	373037
1048576	256	1.291007	377953
1048576	512	0.648314	357298
1048576	1024	1.049373	401053
1048576	2048	0.511520	462143
1048576	4096	1.536650	1025126
1048576	8192	1.627661	1091008
1048576	16384	1.964374	1336711
1048576	32768	2.379242	1414864
1048576	65536	1.605298	1226053
1048576	131072	0.951835	346534
1048576	262144	1.248461	296624
1048576	524288	0.534657	286194
2097152	1	1.138721	598086
2097152	2	0.740822	599112
2097152	4	1.340999	598684
2097152	8	0.943034	601285
2097152	16	1.548623	605212
2097152	32	1.159669	610854
2097152	64	0.857780	698007
2097152	128	1.603138	745300
2097152	256	1.359004	755835
2097152	512	1.073471	714451
2097152	1024	0.875381	801900
2097152	2048	1.799866	924477
2097152	4096	2.808151	2008279
2097152	8192	2.818974	2010819
2097152	16384	3.139966	2320989
2097152	32768	2.596159	2456190
2097152	65536	3.017124	2420924
2097152	131072	2.021298	2004170
2097152	262144	0.714365	693064
2097152	524288	1.307643	593276
2097152	1048576	0.879920	572275
4194304	1	2.088316	1196424
4194304	2	1.292922	1198632
4194304	4	1.493815	1197893
4194304	8	1.698817	1203499
4194304	16	1.911113	1211540
4194304	32	2.134953	1223457
4194304	64	1.541819	1406658
4194304	128	2.078411	1536471
4194304	256	1.656954	1578476
4194304	512	2.163123	1506134
4194304	1024	1.905834	1742692
4194304	2048	2.943330	2037483
4194304	4096	4.954663	4011322
4194304	8192	5.157239	4202570
4194304	16384	5.095974	4938729
4194304	32768	4.964949	4868971
4194304	65536	5.760427	4795475
4194304	131072	5.373351	4612921
4194304	262144	4.222082	3848728
4194304	524288	1.608361	1386275
4194304	1048576	1.794966	1186603
4194304	2097152	1.939351	1144383
