size	stride	elapsed(s)	cycles
4096	1	0.003496	1176
4096	2	0.004675	1166
4096	4	0.005846	1167
4096	8	0.007023	1174
4096	16	0.008204	1179
4096	32	0.009399	1193
4096	64	0.010630	1229
4096	128	0.011926	1294
4096	256	0.013009	1082
4096	512	0.014068	1058
4096	1024	0.015112	1043
4096	2048	0.016172	1058
8192	1	0.018534	2332
8192	2	0.020879	2331
8192	4	0.023217	2330
8192	8	0.025553	2331
8192	16	0.027898	2341
8192	32	0.030254	2354
8192	64	0.032645	2389
8192	128	0.035102	2454
8192	256	0.037347	2244
8192	512	0.039513	2164
8192	1024	0.041627	2112
8192	2048	0.043803	2172
8192	4096	0.046040	2235
16384	1	0.050757	4662
16384	2	0.055437	4655
16384	4	0.060105	4654
16384	8	0.064770	4656
16384	16	0.069437	4663
16384	32	0.074117	4677
16384	64	0.078832	4712
16384	128	0.083612	4778
16384	256	0.088521	4904
16384	512	0.093130	4607
16384	1024	0.097458	4326
16384	2048	0.101870	4410
16384	4096	0.106513	4641
16384	8192	0.110985	4469
32768	1	0.120407	9320
32768	2	0.129769	9311
32768	4	0.139103	9309
32768	8	0.148429	9312
32768	16	0.157761	9324
32768	32	0.167107	9341
32768	64	0.176496	9382
32768	128	0.185937	9439
32768	256	0.195485	9545
32768	512	0.205300	9812
32768	1024	0.214877	9573
32768	2048	0.223935	9056
32768	4096	0.233644	9707
32768	8192	0.242927	9281
32768	16384	0.251872	8941
65536	1	0.270721	18651
65536	2	0.289439	18622
65536	4	0.308105	18616
65536	8	0.326775	18645
65536	16	0.345484	18692
65536	32	0.364348	18855
65536	64	0.385280	20924
65536	128	0.406363	21079
65536	256	0.427232	20865
65536	512	0.448246	21011
65536	1024	0.470446	22195
65536	2048	0.494036	23588
65536	4096	0.552296	58254
65536	8192	0.572020	19719
65536	16384	0.591298	19274
65536	32768	0.609187	17887
131072	1	0.646946	37369
131072	2	0.684518	37380
131072	4	0.722008	37392
131072	8	0.759640	37581
131072	16	0.797424	37756
131072	32	0.835712	38274
131072	64	0.878291	42567
131072	128	0.920783	42485
131072	256	0.962054	41264
131072	512	1.003327	41267
131072	1024	0.047436	44105
131072	2048	0.112604	65162
131072	4096	0.230470	117861
131072	8192	0.345021	114546
131072	16384	0.384573	39546
131072	32768	0.429649	45071
131072	65536	0.495387	65734
262144	1	0.570923	74769
262144	2	0.646161	74861
262144	4	0.721202	74849
262144	8	0.796519	75218
262144	16	0.872221	75649
262144	32	0.949109	76859
262144	64	1.035997	86869
262144	128	0.124299	88290
262144	256	0.211660	87352
262144	512	0.297671	86005
262144	1024	0.390565	92888
262144	2048	0.498949	108378
262144	4096	0.745285	246330
262144	8192	0.978915	233623
262144	16384	1.213536	234615
262144	32768	0.295312	81770
262144	65536	0.377864	82547
262144	131072	0.449401	71532
524288	1	0.600445	149527
524288	2	0.750920	149721
524288	4	0.900930	149632
524288	8	1.051462	150341
524288	16	0.202857	151295
524288	32	0.356717	153807
524288	64	0.532699	175950
524288	128	0.717140	184421
524288	256	0.907350	190197
524288	512	1.087239	179881
524288	1024	0.290018	202771
524288	2048	0.525267	235242
524288	4096	1.020993	495719
524288	8192	0.496770	475770
524288	16384	0.945484	448708
524288	32768	1.278515	333025
524288	65536	0.451609	173088
524288	131072	0.600007	148393
524288	262144	0.743142	143130
1048576	1	1.045200	299042
1048576	2	0.346123	299426
1048576	4	0.646109	299238
1048576	8	0.947040	300550
1048576	16	1.249605	302371
1048576	32	0.556991	307285
1048576	64	0.908556	351506
1048576	128	1.276905	368314
1048576	256	0.659818	382892
1048576	512	1.019133	359301
1048576	1024	0.424050	404907
1048576	2048	0.894044	469985
1048576	4096	1.887122	993069
1048576	8192	1.874512	987384
1048576	16384	1.845168	970649
1048576	32768	1.702503	857329
1048576	65536	1.606549	904039
1048576	131072	0.953145	346591
1048576	262144	1.249926	296774
1048576	524288	0.536038	286107
2097152	1	1.140404	598363
2097152	2	0.742126	598733
2097152	4	1.342043	598422
2097152	8	0.943736	600938
2097152	16	1.548832	604715
2097152	32	1.164478	615449
2097152	64	0.874199	709609
2097152	128	1.632959	758695
2097152	256	1.414972	781976
2097152	512	1.145975	730982
2097152	1024	0.957716	811727
2097152	2048	1.897052	939324
2097152	4096	2.901826	2004764
2097152	8192	2.900441	1998606
2097152	16384	2.805420	1904971
2097152	32768	2.648553	1843127
2097152	65536	2.524400	1875785
2097152	131072	2.529711	2005306
2097152	262144	1.222929	693211
2097152	524288	0.816595	593660
2097152	1048576	1.388845	572244
4194304	1	1.600686	1199834
4194304	2	1.805652	1198988
4194304	4	2.009941	1201292
4194304	8	1.220166	1208717
4194304	16	1.443978	1223038
4194304	32	1.716231	1271853
4194304	64	2.320815	1604329
4194304	128	2.457221	2136227
4194304	256	2.652971	2195651
4194304	512	2.971319	2318295
4194304	1024	3.329303	2357947
4194304	2048	3.521303	3191978
4194304	4096	4.473836	3952515
4194304	8192	4.590193	4116346
4194304	16384	4.601857	4011655
4194304	32768	4.192425	3590561
4194304	65536	4.166972	3974538
4194304	131072	3.921073	3754093
4194304	262144	4.417518	3496438
4194304	524288	1.803875	1386351
4194304	1048576	1.991018	1187137
4194304	2097152	2.135477	1144452
