size	stride	elapsed(s)	cycles
4096	1	0.002419	2420
4096	2	0.002443	2443
4096	4	0.002502	2502
4096	8	0.002100	2100
4096	16	0.001151	1151
4096	32	0.001092	1092
4096	64	0.001116	1116
4096	128	0.001144	1144
4096	256	0.000917	917
4096	512	0.000898	898
4096	1024	0.000906	906
4096	2048	0.000960	960
8192	1	0.002013	2014
8192	2	0.002016	2016
8192	4	0.002036	2036
8192	8	0.002088	2087
8192	16	0.002134	2135
8192	32	0.002081	2080
8192	64	0.002087	2087
8192	128	0.002253	2252
8192	256	0.001991	1990
8192	512	0.001826	1825
8192	1024	0.001796	1796
8192	2048	0.001853	1853
8192	4096	0.002005	2006
16384	1	0.003969	3969
16384	2	0.003984	3985
16384	4	0.004009	4009
16384	8	0.004059	4059
16384	16	0.004110	4109
16384	32	0.004056	4056
16384	64	0.004064	4064
16384	128	0.004211	4211
16384	256	0.003860	3859
16384	512	0.003976	3976
16384	1024	0.003667	3667
16384	2048	0.003712	3712
16384	4096	0.003998	3997
16384	8192	0.004012	4012
32768	1	0.007944	7944
32768	2	0.007984	7984
32768	4	0.008016	8016
32768	8	0.008120	8120
32768	16	0.008221	8222
32768	32	0.008151	8151
32768	64	0.008141	8141
32768	128	0.008402	8403
32768	256	0.007954	7954
32768	512	0.007825	7825
32768	1024	0.007963	7963
32768	2048	0.007491	7491
32768	4096	0.008154	8154
32768	8192	0.008368	8368
32768	16384	0.007992	7992
65536	1	0.015877	15878
65536	2	0.015922	15922
65536	4	0.015930	15931
65536	8	0.016069	16069
65536	16	0.016239	16238
65536	32	0.016387	16387
65536	64	0.018800	18800
65536	128	0.019058	19058
65536	256	0.018194	18194
65536	512	0.017963	17963
65536	1024	0.018258	18257
65536	2048	0.019969	19969
65536	4096	0.051373	51372
65536	8192	0.016225	16225
65536	16384	0.015997	15997
65536	32768	0.016047	16047
131072	1	0.031683	31683
131072	2	0.031764	31763
131072	4	0.031740	31740
131072	8	0.031935	31935
131072	16	0.032158	32157
131072	32	0.032525	32525
131072	64	0.037253	37253
131072	128	0.037884	37884
131072	256	0.036720	36719
131072	512	0.036860	36860
131072	1024	0.036636	36637
131072	2048	0.039058	39059
131072	4096	0.097510	97510
131072	8192	0.097076	97076
131072	16384	0.032465	32465
131072	32768	0.031971	31972
131072	65536	0.032091	32091
