size	stride	elapsed(s)	cycles
8192	1	0.004692	4694
8192	2	0.003103	3104
8192	4	0.002586	2586
8192	8	0.002585	2585
8192	16	0.002593	2593
8192	32	0.002539	2539
8192	64	0.002022	2022
8192	128	0.002071	2072
8192	256	0.002174	2174
8192	512	0.001855	1855
8192	1024	0.001837	1837
8192	2048	0.001897	1897
8192	4096	0.002012	2011
16384	1	0.003952	3952
16384	2	0.003960	3959
16384	4	0.003940	3939
16384	8	0.003941	3941
16384	16	0.003947	3947
16384	32	0.003964	3964
16384	64	0.003995	3995
16384	128	0.004043	4043
16384	256	0.004155	4154
16384	512	0.004332	4332
16384	1024	0.003714	3715
16384	2048	0.003837	3837
16384	4096	0.004131	4131
16384	8192	0.004018	4018
32768	1	0.007888	7888
32768	2	0.007890	7890
32768	4	0.007981	7981
32768	8	0.007966	7966
32768	16	0.007913	7914
32768	32	0.007928	7928
32768	64	0.007982	7982
32768	128	0.008074	8074
32768	256	0.008297	8298
32768	512	0.008084	8084
32768	1024	0.008661	8660
32768	2048	0.007677	7677
32768	4096	0.008515	8515
32768	8192	0.008260	8261
32768	16384	0.008020	8021
65536	1	0.015824	15824
65536	2	0.015861	15861
65536	4	0.015790	15790
65536	8	0.015831	15831
65536	16	0.015917	15917
65536	32	0.016191	16190
65536	64	0.017799	17798
65536	128	0.017699	17699
65536	256	0.017957	17957
65536	512	0.017941	17941
65536	1024	0.018602	18602
65536	2048	0.020922	20922
65536	4096	0.048308	48308
65536	8192	0.017021	17021
65536	16384	0.016521	16521
65536	32768	0.016066	16066
131072	1	0.031626	31626
131072	2	0.031684	31684
131072	4	0.031615	31614
131072	8	0.031798	31798
131072	16	0.031951	31951
131072	32	0.032639	32640
131072	64	0.035874	35873
131072	128	0.036097	36097
131072	256	0.037048	37048
131072	512	0.035539	35538
131072	1024	0.036797	36797
131072	2048	0.040826	40826
131072	4096	0.099185	99186
131072	8192	0.102599	102599
131072	16384	0.034833	34833
131072	32768	0.033038	33038
131072	65536	0.032137	32138
262144	1	0.063261	63262
262144	2	0.063383	63382
262144	4	0.063465	63465
262144	8	0.063770	63770
262144	16	0.064362	64362
262144	32	0.066605	66606
262144	64	0.075104	75104
262144	128	0.076625	76625
262144	256	0.080033	80034
262144	512	0.073272	73272
262144	1024	0.080966	80966
262144	2048	0.094353	94353
262144	4096	0.203665	203665
262144	8192	0.204301	204301
262144	16384	0.201986	201985
262144	32768	0.068072	68072
262144	65536	0.066071	66071
262144	131072	0.064242	64242
